Date,MSCI World Sector Neutral Quality,S&P 500,MSCI Europe Small Cap Value Weighted,MSCI EMU,MSCI ACWI,MSCI USA Small Cap Value Weighted,MSCI Europe,MSCI Emerging Markets,MSCI World Momentum,S&P 500 Minimum Volatility,FTSE World Government Bond - Developed Markets,MSCI World
03/1997,,23129.89274528737,14593.900783731893,32635.189081175362,27679.5482283121,16436.091103159368,140651.02339882293,72019.34976435678,15864.929363364336,,22695.89927773612,122491.17455064926
04/1997,,24644.072164033743,14292.979812214815,32236.509418919846,28724.002597402603,16566.653450333455,140712.87320944032,72539.08831168832,16917.633070914864,,23240.55728776098,127159.80947713036
05/1997,,26064.431952580464,14767.482977867207,33097.511567065616,30344.692730294813,18170.619839034207,146272.58454465755,74386.72331379581,17738.19831152203,,23585.536961755533,134572.05451778104
06/1997,,27538.11692278689,15167.410796178345,35666.82679340619,32255.834076433122,19537.860744869075,155316.34282389822,79248.1377388535,18937.896790220297,,24161.374669455738,142847.83689100642
07/1997,,30556.423379582393,15571.753031460266,38648.08703744181,34652.37725040916,21160.001296599385,167118.75438326193,82669.0031096563,20941.205895696472,,25167.136993329914,153560.5123052454
08/1997,,29667.345651145628,16069.570954830266,36696.35572772302,33140.15501730104,22281.404588048263,162064.4311265704,74207.37301038062,19778.010850080784,,24730.779097762166,147350.23775778493
09/1997,,30471.42290547583,16542.756765321923,39304.3239922555,33992.02500682998,23356.18699389855,173117.74885256423,74263.34255532283,20796.925468081638,,24850.199313257293,151256.61383903434
10/1997,,28919.151153973286,16173.395541845495,36193.47170260411,31387.780847639486,22133.428234978543,161617.08419533912,60950.89200643776,19371.88923420158,,24603.69222875636,140670.86794401563
11/1997,,29635.18627072745,15555.686016288646,36148.02190119117,31212.128785357738,21663.59167702952,160723.39824711316,57518.353078203,19345.57211973168,,24679.194458696766,140190.50158933987
12/1997,,30957.447132087967,16021.686934076804,38476.22615404852,32475.109973918516,22576.479294900622,171092.28914895593,60493.72218724704,20393.12300481488,,25114.24991119706,145703.51622969736
01/1998,,32019.795525622503,16869.51097249057,41026.2611531019,33953.444714325145,22786.47793725274,182313.5248376896,57031.481369031186,21462.959899371563,,25851.639894225835,153183.99090702526
02/1998,,34253.596854553405,18098.369389516207,44255.370507630054,36196.27155053704,24435.5204333058,196134.29666105588,62845.41200771138,22823.518891656513,,25846.00584125982,163160.93670644032
03/1998,,36140.37048391496,19889.520434902795,48543.22114188418,37879.80088454805,25613.05125587396,210876.65944594884,65814.32496084031,24442.908065103336,,25911.236531554645,170652.24659611567
04/1998,,36256.75987750477,20425.411994142953,49843.91415873783,37975.89658643726,25719.427511668346,213510.76431165665,64656.53191177816,24837.692755033157,,25692.56423412401,171127.45656904118
05/1998,,35090.85666363194,20971.220120764243,51506.92654362728,36687.93287671234,24188.34860310022,214517.924368949,54946.140410958906,24473.49070809228,,25671.379800292063,166383.9192603877
